name,slug,address,source,siret,phone,email,website,google_maps_url,google_rating,google_review_count,gbp_link,opening_hours,network_affiliation,agents_names,has_blog,site_quality,is_mobile_friendly,gbp_photo_count,gbp_last_photo_date,gbp_has_posts,gbp_category,screenshot_path,enrichment_status
Futur Transactions,futur-transactions-00041,99 BOULEVARD AUGUSTE BLANQUI 75013 PARIS,sirene,48211010300041,,,,,,,,,indépendant,,,,,,,,,,scraped
Rene Legal Consultants,rene-legal-consultants-00066,99 BOULEVARD AUGUSTE BLANQUI 75013 PARIS,sirene,48211010300066,,,,,,,,,indépendant,,,,,,,,,,scraped
Yannick Martin,yannick-martin-00022,89 RUE DE TOLBIAC 75013 PARIS,sirene,52080191100022,,,,,,,,,indépendant,,,,,,,,,,scraped
W.i.p. Sas (wip Immo - Wip Courtage),w-i-p-sas-wip-immo-wip-courtage-00022,4 RUE DU MOULIN DES PRES 75013 PARIS,sirene,53053779400022,,,,,,,,,indépendant,,,,,,,,,,scraped
Societe Immobiliere Paris Sud,societe-immobiliere-paris-sud-00066,66 AVENUE D'IVRY 75013 PARIS,sirene,61204287900066,,,,,,,,,indépendant,,,,,,,,,,scraped
Smpl France,smpl-france-00029,110 RUE DE PATAY 75013 PARIS,sirene,88493231000029,,,,,,,,,indépendant,,,,,,,,,,scraped
Camille Bakri,camille-bakri-00033,22 RUE BARRAULT 75013 PARIS,sirene,89062756500033,,,,,,,,,indépendant,,,,,,,,,,scraped
Md Immo Invest,md-immo-invest-00033,198 AVENUE DE FRANCE 75013 PARIS,sirene,83784210300033,,,,,,,,,indépendant,,,,,,,,,,scraped
Lima,lima-00026,67 AVENUE DES GOBELINS 75013 PARIS,sirene,83784412500026,,,,,,,,,indépendant,,,,,,,,,,scraped
Xiaying Fu,xiaying-fu-00014,2 PLACE AURELIE NEMOURS 75013 PARIS,sirene,85297582000014,,,,,,,,,indépendant,,,,,,,,,,scraped
Zanzi et Bonafos,zanzi-et-bonafos-00024,14 RUE HENRI PAPE 75013 PARIS,sirene,69562163100024,,,,,,,,,indépendant,,,,,,,,,,scraped
Avenue Michelet Holding (avh),avenue-michelet-holding-avh-00031,19 AVENUE D'ITALIE 75013 PARIS,sirene,78940087600031,,,,,,,,,indépendant,,,,,,,,,,scraped
Delange Gobelins,delange-gobelins-00027,54 AVENUE DES GOBELINS 75013 PARIS,"sirene,google_maps",91848499900027,"
01 76 41 06 65",,https://www.delangeimmobilier.com/,https://www.google.com/maps/place/Delange+Immobilier+-+Gobelins+Paris+13/data=!4m7!3m6!1s0x47e67192840a3f1d:0x795aa37ccd1405b!8m2!3d48.8337786!4d2.3536403!16s%2Fg%2F11gbldwz4l!19sChIJHT8KhJJx5kcRW0DRzDeqlQc?authuser=0&hl=fr&rclk=1,,,,"{""Ouvert · Ferme à 19"": ""30""}",indépendant,,,,,,,,,,scraped
Avelys Conseil & Patrimoine,avelys-conseil-patrimoine-00029,69 RUE DE CROULEBARBE 75013 PARIS,sirene,83335500100029,,,,,,,,,indépendant,,,,,,,,,,scraped
Florian Dassonville,florian-dassonville-00056,6 VILLA NIEUPORT 75013 PARIS,sirene,83395173400056,,,,,,,,,indépendant,,,,,,,,,,scraped
Lutece Immobilier,lutece-immobilier-00031,241 RUE DE TOLBIAC 75013 PARIS,sirene,43500135900031,,,,,,,,,indépendant,,,,,,,,,,scraped
